num_ref,nombre_buque,numero_imo,causa_arribo,bandera,tbr,eslora,manga,tipo_embarcacion,calado_maximo,linea_naviera,puerto_anterior,fecha_hora_arribo,siguiente_puerto,fecha_hora_zarpe,trafico_movimiento,tipo_carga,producto,toneladas,vehiculos,cajas_20,cajas_40,muelle,terminal,maniobrista,horas_buque_puerto,horas_buque_muelle,horas_buque_operacion,mes,anio
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-07 08:54:00,"La Paz, Bc",2025-03-07 16:23:00,cabotaje salida,general suelta,mercancías diversas,2933.12,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
32.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-09 08:54:00,"La Paz, Bc",2025-03-09 16:29:00,cabotaje entrada,general suelta,mercancías diversas,3007.32,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-09 08:54:00,"La Paz, Bc",2025-03-09 16:29:00,cabotaje salida,general suelta,mercancías diversas,4523.46,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
33.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-12 08:33:00,"La Paz, Bc",2025-03-12 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2111.09,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-12 08:33:00,"La Paz, Bc",2025-03-12 17:00:00,cabotaje salida,general suelta,mercancías diversas,4265.85,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
34.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-14 08:25:00,"La Paz, Bc",2025-03-14 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2022.0,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-14 08:25:00,"La Paz, Bc",2025-03-14 17:00:00,cabotaje salida,general suelta,mercancías diversas,4087.15,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
35.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-16 08:40:00,"La Paz, Bc",2025-03-16 17:00:00,cabotaje entrada,general suelta,mercancías diversas,2795.12,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",8.0,7.0,4.55,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-16 08:40:00,"La Paz, Bc",2025-03-16 17:00:00,cabotaje salida,general suelta,mercancías diversas,4471.19,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
36.0,Mexico Star,9138800.0,desembarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-19 08:25:00,"La Paz, Bc",2025-03-19 16:35:00,cabotaje entrada,general suelta,mercancías diversas,2503.4,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",9.0,8.0,5.2,marzo,2025
,Mexico Star,9138800.0,embarque,Mexicana,21171.0,183.0,26.0,transbordador,7.0,"Baja Ferries, S.A. de C.V.","La Paz, Bc",2025-03-19 08:25:00,"La Paz, Bc",2025-03-19 16:35:00,cabotaje salida,general suelta,mercancías diversas,3855.66,,,,T-1,Transbordadores,"Baja Ferries, S.A. de C.V.",,,,marzo,2025
